HOSTNAME_C1,MANAGEMENT IP (NO NEED FOR HUAWEI)_C1,INTERFACE_C1,IS MULTICAST (YES/NO)_C1,HOSTNAME_C2,MANAGEMENT IP (NO NEED FOR HUAWEI)_C2,INTERFACE_C2,IS MULTICAST (YES/NO)_C2
KAWS0016CIBE001,10.205.138.64,Bundle-Ether251,,KAWS0016CICU001,10.205.142.67,Bundle-Ether251,
KAWS0016CIBE002,10.205.138.65,Bundle-Ether251,,KAWS0016CICU001,10.205.142.67,Bundle-Ether252,
KAWS0016CIBE001,10.205.138.64,Bundle-Ether253,,RSCS0075CICU001,10.205.142.79,Bundle-Ether251,
KAWS0016CIBE002,10.205.138.65,Bundle-Ether253,,RSCS0075CICU001,10.205.142.79,Bundle-Ether252,
