collection-date,vpn-id,customer-name,customer-abbr,vpn-type,topology,running-no,label-mode,huawei-label-mode,multicast,secondary-running-no,cisco-domain-topology,huawei-domain-topology
26/03/2021 15:53:00,IPR8045_EPLDTINC,"ePLDT, Inc.",EPLDT01,enterprise,full-mesh,8045,,,,,,
26/03/2021 15:53:00,IPR8046_CAVALCI,CAVITE APC LENDING COMPANY INC.,CALCI02,enterprise,full-mesh,8046,,,,,,
26/03/2021 15:53:00,IPR8047_GXTRTNL,GX INTERNATIONAL,GI06,enterprise,full-mesh,8047,,,,,,
26/03/2021 15:53:00,IPR8048_PHYDIAG,PHYSICIANS DIAGNOSTIC SVCS. CENTER INC.,PDSCI03,enterprise,full-mesh,8048,,,,,,
26/03/2021 15:53:00,IPR8053_TCSACSI,"TRIDENT CREDIT SUPPORT AND COLLECTION SERVICES, INC.",TCSCS03,enterprise,full-mesh,8053,,,,,,
26/03/2021 15:53:00,IPR8069_MERALCO,MERALCO,MERAL01,enterprise,full-mesh,8069,,per-instance,,,,
26/03/2021 15:53:00,IPR8073_CLADSWD,CITY GOVERNMENT OF CALAMBA- DSWD,CM12,enterprise,full-mesh,8073,per-ce,,,,,
26/03/2021 15:53:00,IPR8078_AUTOPHIL,AUTOPHILZONESALESCORPORATION,AZSC02,enterprise,full-mesh,8078,,per-instance,,,,
26/03/2021 15:53:00,IPR8079_PHXHOUSE,"THE PHOENIX PUBLISHING HOUSE, INC.",PPHI03,enterprise,full-mesh,8079,,,,,,
26/03/2021 15:53:00,IPR8089_APHILINC,"Asa Philippines Foundation, Inc.",APFI01,enterprise,full-mesh,8089,,,,,,
26/03/2021 15:53:00,IPR8095_MANPLAS,"Manly Plastics, Inc.",MPI46,enterprise,full-mesh,8095,,per-instance,,,,
26/03/2021 15:53:00,IPR8096_GE4MSI,GREAT EMPOWERMENT FOR MAXIMUM SUCCESS INCORPORATED,GEMSI02,enterprise,full-mesh,8096,,per-instance,,,,
26/03/2021 15:53:00,IPR8105_MECNET,MEC NETWORKS CORP.,MNC06,enterprise,full-mesh,8105,,per-instance,,,,
26/03/2021 15:53:00,IPR8111_MSANMIG,"MUNICIPALGOVERNMENTOFSANMIGUEL,ILOILO",MGSMI01,enterprise,full-mesh,8111,,per-instance,,,,
26/03/2021 15:53:00,IPR8126_PANPHIL,PANASONIC MANUFACTURING PHILIPPINES CORPORATION,MEPC01,enterprise,full-mesh,8126,,,,,,
26/03/2021 15:53:00,IPR8157_CIMBPH,CIMB BANK PHILIPPINES INC,CBPI25,enterprise,full-mesh,8157,per-ce,per-instance,,,,
26/03/2021 15:53:00,IPR8158_CITYGOV,CITY GOVERNMENT OF DAVAO,CGOD01,enterprise,full-mesh,8158,per-ce,per-instance,,,,
26/03/2021 15:53:00,IPR8165_SPISINC,SPEED POWERTECH IT SOLUTIONS INC.,SPISI02,enterprise,full-mesh,8165,per-ce,per-instance,,,,
26/03/2021 15:53:00,IPR8171_SONNETS,"SONNET'S CATERING SERVICES, INC.",SCSI07,enterprise,full-mesh,8171,,per-instance,,,,
26/03/2021 15:53:00,IPR8174_RAMONAF,"RAMON ABOITIZ FOUNDATION, INC.",RAFI02,enterprise,full-mesh,8174,,per-instance,,,,
26/03/2021 15:53:00,IPR8175_CHRSTRTN,"CHRISTERTON PROPERTIES, INC.",CPI99,enterprise,full-mesh,8175,,per-instance,,,,
26/03/2021 15:53:00,IPR8178_BBGCINC,"PITO AXM PLATFORM, INC.",PAPI30,enterprise,full-mesh,20045,per-ce,per-instance,,,,
26/03/2021 15:53:00,IPR8180_EVRSLEY,EVERSLEY CHILDS SANITARIUM,ECS67,enterprise,full-mesh,8180,,per-instance,,,,
26/03/2021 15:53:00,IPR8182_BESTANK,BESTANK MANUFACTURING CORP,BMC23,enterprise,full-mesh,8182,,per-instance,,,,
26/03/2021 15:53:00,IPR8183_VALCITY,CITY GOVERNMENT OF VALENZUELA,MV01,enterprise,full-mesh,8183,,per-instance,,,,
26/03/2021 15:53:00,IPR8195_DENRDC,"DEPARTMENT OF ENVIRONMENT AND NATURAL RESOURCES-DAVAO CITY, DAVAO DEL SUR",DENR-06,enterprise,full-mesh,8195,per-ce,per-instance,,,,
26/03/2021 15:53:00,IPR8196_CITYGOV,"CITY GOVERNMENT OF DAVAO, DAVAO DEL SUR",CGOD01,enterprise,full-mesh,8196,per-ce,per-instance,,,,
26/03/2021 15:53:00,IPR8201_SMMCINC,SAN MATEO MEDICAL CENTER INC,SMMCI10,enterprise,full-mesh,8201,per-ce,per-instance,,,,
26/03/2021 15:53:00,IPR8206_ILELCOO,"ILOILO II ELECTRIC COOPERATIVE, INC.",IIECI11,enterprise,full-mesh,8206,,per-instance,,,,
26/03/2021 15:53:00,IPR8208_HKTEST,PLDT HK LIMITED-ICBG,PHL65,enterprise,full-mesh,8208,per-ce,per-instance,,,,
26/03/2021 15:53:00,IPR8210_NEOTECH,NEO-TECH ASIA DISTRIBUTION INC.,NADI14,enterprise,full-mesh,8210,,per-instance,,,,
26/03/2021 15:53:00,IPR8213_PHSEVCOR,PHILIPPINE SEVEN CORPORATION,PSC02,enterprise,full-mesh,8213,per-ce,per-instance,,,,
26/03/2021 15:53:00,IPR8217_MSSINC,MERIT STAINLESS STEEL INC.,MSSI01,enterprise,full-mesh,8217,per-ce,per-instance,,,,
26/03/2021 15:53:00,IPR8218_ASUSPHL,ASUS PHILIPPINES CORPORATION,APC529,enterprise,full-mesh,8218,,per-instance,,,,
26/03/2021 15:53:00,IPR8219_TRUCORP,TRULABORATORIES CORPORATION,TC12042,enterprise,full-mesh,8219,per-ce,per-instance,,,,
26/03/2021 15:53:00,IPR8222_MADPARK,"MADISON PARK HOTEL, INC",MPHI13,enterprise,full-mesh,8222,,per-instance,,,,
26/03/2021 15:53:00,IPR8223_MERITSS,MERIT STAINLESS STEEL INC.,MSSI01,enterprise,full-mesh,20049,per-ce,per-instance,,,,
26/03/2021 15:53:00,IPR8225_ILOSCOF,ILOILO STATE COLLEGE OF FISHERIES,ISCF01,enterprise,full-mesh,8225,,per-instance,,,,
26/03/2021 15:53:00,IPR8230_DOAMNDC,"DEPARTMENT OF AGRICULTURE-BGY MAGUIKAY, MANDAUE CITY",DAMCC01,enterprise,full-mesh,8230,,per-instance,,,,
26/03/2021 15:53:00,IPR8231_SPOWERC,S-POWER CORPORATION,SC3705,enterprise,full-mesh,8231,per-ce,per-instance,,,,
26/03/2021 15:53:00,IPR8247_BCCSTI,BCC SECURITY TECHNOLOGIES INC.,BSTI09,enterprise,full-mesh,8247,per-ce,per-instance,,,,
26/03/2021 15:53:00,IPR8250_HONDA,"HONDA CARS MAKATI, INC.",HCMI01,enterprise,full-mesh,8250,per-ce,per-instance,,,,
26/03/2021 15:53:00,IPR8251_PNPREGO,PHILIPPINE NATIONAL POLICE,PRO101,enterprise,full-mesh,8251,per-ce,per-instance,,,,
26/03/2021 15:53:00,IPR9983_RADNMS,CLARADE014 NMS,CLA014,enterprise,full-mesh,9983,per-ce,per-instance,,,,
26/03/2021 15:53:00,IPR9983_RADNMS_PECE,CLARADE014 MGMT,CLA014,enterprise,full-mesh,20032,per-ce,per-instance,,,,
26/03/2021 15:53:00,IPR9991_INDUSCS,"INDUSTRIAL CONTROLS SYSTEMS, INC.",ICSI17,enterprise,full-mesh,9991,,,,,,
26/03/2021 15:53:00,IPR9998_CARDMRI,CARD MRI INFORMATION TECHNOLOGY,CMIT02,enterprise,full-mesh,9998,per-ce,per-instance,,,,
26/03/2021 15:53:00,L2L2_L3_HS_3000,PLDT,PT,enterprise,hub-and-spoke,20053,per-ce,per-instance,,20052.0,,
26/03/2021 15:53:00,L2L2_L3_HS_3070,PLDT,PT,enterprise,hub-and-spoke,20055,per-ce,per-instance,,20054.0,,
26/03/2021 15:53:00,L3CHMuticast_00001,PLDT,PT,enterprise,full-mesh,20044,per-ce,per-instance,,,,
26/03/2021 15:53:00,L3VPN_RA_tes_HS,PLDT,PT,enterprise,hub-and-spoke,20066,per-ce,per-instance,,20066.0,,
26/03/2021 15:53:00,L3_VPN_Uni_HS_RA,PLDT,PT,enterprise,hub-and-spoke,21501,per-ce,per-instance,,21502.0,,
26/03/2021 15:53:00,L3_VPN_test_RA_2,PLDT,PT,enterprise,hub-and-spoke,21503,per-ce,per-instance,,21504.0,,
26/03/2021 15:53:00,L3vpnt,pldt,pt,enterprise,full-mesh,20042,per-ce,,,,,
26/03/2021 15:53:00,NSO_L3FMHU_080321,PLDT,PLDT,enterprise,full-mesh,20057,per-ce,per-instance,,,,
26/03/2021 15:53:00,NSO_PAT411_CS1003,PLDT,PLDT,enterprise,hub-and-spoke,20164,per-ce,per-instance,,20163.0,,
26/03/2021 15:53:00,NSO_PATHYB_080321,PLDT,PLDT,mobile,hybrid,20050,per-ce,per-instance,,20051.0,hybrid,full-mesh
26/03/2021 15:53:00,NSO_PATL3FM_0803,PLDT,PLDT,enterprise,full-mesh,20056,per-ce,per-instance,,,,
26/03/2021 15:53:00,TEST,TEST,TEST,enterprise,full-mesh,20036,per-ce,per-instance,,,,
26/03/2021 15:53:00,VPNBATSMGMT,PLDT,PLDT,infra,full-mesh,20038,per-ce,,,,,
26/03/2021 15:53:00,VPNFMtoHS,PLDT,PLDT,enterprise,hub-and-spoke,40500,per-ce,per-instance,,40501.0,,
26/03/2021 15:53:00,l3vpn-1000,PTDT,PT,enterprise,full-mesh,15000,per-ce,,,,,
26/03/2021 15:53:00,l3vpn-1001,PLDT,PT,enterprise,full-mesh,15001,per-vrf,,,,,
26/03/2021 15:53:00,l3vpn-1002,PLDT-5G,PT,enterprise,full-mesh,16901,per-vrf,,,,,
26/03/2021 15:53:00,l3vpn-1003,PLDT,PT,enterprise,full-mesh,15003,per-vrf,,,,,
26/03/2021 15:53:00,l3vpn-1004,PLDT,PT,enterprise,full-mesh,15004,per-vrf,,,,,
26/03/2021 15:53:00,l3vpn-1009,PLDT,PLDT,enterprise,full-mesh,15030,per-vrf,,,,,
26/03/2021 15:53:00,l3vpn-1011,PLDT,PLDT,enterprise,full-mesh,15032,per-vrf,,,,,
26/03/2021 15:53:00,l3vpn-1012,PLDT,PLDT,enterprise,full-mesh,15035,per-vrf,,,,,
26/03/2021 15:53:00,l3vpn-1013,PLDT,PLDT,enterprise,full-mesh,15036,per-vrf,,,,,
26/03/2021 15:53:00,l3vpn-1014,PLDT,PLDT,enterprise,full-mesh,15037,per-vrf,,,,,
26/03/2021 15:53:00,l3vpn-1040,PLDT,PT,enterprise,full-mesh,15009,per-vrf,,,,,
26/03/2021 15:53:00,l3vpn-1041,PLDT,PT,enterprise,full-mesh,15010,per-vrf,,,,,
26/03/2021 15:53:00,l3vpn-1042,PLDT,PT,enterprise,full-mesh,15011,per-vrf,,,,,
26/03/2021 15:53:00,l3vpn-1049,PLDT,PT,enterprise,full-mesh,15015,per-ce,,,,,
26/03/2021 15:53:00,l3vpn-1050,pldt,pt,enterprise,full-mesh,15016,per-vrf,,,,,
26/03/2021 15:53:00,l3vpn-1051,PLDT,pt,enterprise,full-mesh,15017,per-vrf,,,,,
26/03/2021 15:53:00,l3vpn-1052,PLDT,PT,enterprise,full-mesh,15018,per-vrf,,,,,
26/03/2021 15:53:00,l3vpn-1150,PLDT,PT,enterprise,full-mesh,15002,per-vrf,,,,,
26/03/2021 15:53:00,l3vpn-1153,PLDT,PT,enterprise,full-mesh,15005,per-vrf,,,,,
26/03/2021 15:53:00,l3vpn-1156,PLDT-Perf,PT,enterprise,full-mesh,15006,per-vrf,,,,,
26/03/2021 15:53:00,l3vpn-1158,PLDT,PT,enterprise,full-mesh,16000,per-vrf,,,,,
26/03/2021 15:53:00,l3vpn-1162,PLDT,PT,enterprise,full-mesh,16001,per-vrf,,,,,
26/03/2021 15:53:00,l3vpn-1171,PLDT,PT,enterprise,full-mesh,16002,per-vrf,,,,,
26/03/2021 15:53:00,l3vpn-1172,PLDT,PT,enterprise,full-mesh,16003,per-vrf,,,,,
26/03/2021 15:53:00,l3vpn-pilot-ent-test-mork-1,mork1,test,enterprise,full-mesh,44120,per-vrf,,,,,
26/03/2021 15:53:00,l3vpn-pilot-mvpn-test,test,test,enterprise,full-mesh,15701,per-vrf,,,,,
26/03/2021 15:53:00,new1_0903,pldt,pt,enterprise,full-mesh,20161,per-ce,per-instance,,,,
26/03/2021 15:53:00,new1_090321,pldt,pt,enterprise,full-mesh,20067,per-ce,per-instance,,,,
26/03/2021 15:53:00,new2_0903,PLDT,pt,enterprise,full-mesh,20068,per-ce,per-instance,,,,
26/03/2021 15:53:00,new3_0903,pldt,pt,enterprise,full-mesh,20060,per-ce,per-instance,,,,
26/03/2021 15:53:00,test20210316,pldt,pldt,enterprise,full-mesh,316,,,,,,
