collection-date,link-id,vpn-id,service-order.pid,service-order.date-of-provisioning,service-order.service-type,service-order.service-offering,service-order.order-details.service-order-no,service-order.order-details.order-type,stack-type,site-details.location-code,site-details.vendor,site-details.homing-type,primary-link.device,primary-link.interface-type,primary-link.interface-id,primary-link.svlan,primary-link.description,primary-link.ipv4.pe-ipv4-address,primary-link.ipv4.ce-ipv4-address,vrf.vrf-name,vrf.extranet,vrf.maximum-prefixes,vrf.prefixes-threshold,routing.static.ipv4-routes.ipv4-prefixes.network-subnet,routing.static.ipv4-routes.next-hop,routing.maximum-paths.multipath-type,routing.maximum-paths.path-no,qos.policy-type,qos.in-policy-standard,routing,qos.out-policy-standard,service-order.order-details.userid,service-order.order-details.date-of-change,vrf.label-mode,primary-link.mtu,qos.policy-name,qos.direction,qos.flat.mode,qos.flat.default-class-bandwidth,qos.flat.default-class-marking,qos.define-policy,routing.bgp.peer-ipv4,routing.bgp.remote-as,routing.bgp.address-family-ipv4.in-route-policy,routing.bgp.address-family-ipv4.out-route-policy,routing.bgp.local-as.as-number,routing.bgp.local-as.no-prepend,routing.bgp.prefix.maximum,routing.bgp.prefix.threshold,routing.bgp.prefix.warning-only,routing.bgp.local-as.replace-as,site-details.dual-homing.mode,site-details.dual-homing.homing-type,secondary-link.device,secondary-link.interface-id,secondary-link.svlan,secondary-link.ipv4.pe-ipv4-address,secondary-link.ipv4.ce-ipv4-address,routing.bgp.secondary-peer-ipv4,routing.bgp.address-family-ipv4.secondary-in-route-policy,routing.bgp.address-family-ipv4.secondary-out-route-policy,routing.additional-paths,routing.static.ipv4-routes.secondary-next-hop,primary-link.admin-status,secondary-link.admin-status,route-filtering.route-policy.route-policy-name,route-filtering.route-policy.action-type,route-filtering.route-policy.global-action,route-filtering.route-policy.global-set-action.set-community,route-filtering.route-policy.route-policy-actions.condition-type,route-filtering.route-policy.route-policy-actions.action-type,multicast.multicast-site,multicast.multicast-ssm-mapping,multicast.ssm-mapping.ssm-mapping-acl-name,multicast.ssm-mapping.ssm-mapping-group,multicast.igmp.static-groups.group-address,multicast.igmp.static-groups.source-address,vrrp.ipv4-virtual-ip,vrrp.vrrp-id,vrrp.preempt-delay,vrrp.track-interfaces.link-type,vrrp.track-interfaces.track-interface,vrrp.track-interfaces.priority-decrement,vrf.role,site-details.point-of-interconnect,route-filtering.route-policy.global-set-action.set-local-pref,route-filtering.route-policy.global-set-action.set-weight,routing.static.ipv4-routes.ipv4-prefixes.admin-distance,routing.static.ipv4-routes.ipv4-prefixes.secondary-admin-distance,routing.static.ipv4-routes.bfd.minimum-interval,routing.static.ipv4-routes.bfd.multiplier,routing.static.ipv4-routes.secondary-ipv4-route-policy,routing.static.ipv4-routes.ipv4-route-policy,vrf.agg-link-id,vrf.no-hub-import,vrf.additional-running-no,vrf.route-target.rt-value,vrf.route-target.set-rt,routing.advertise-best-external,vrf.spoke-mesh-only
26/03/2021 15:53:00,IPR40026_VOIP_IMS_MKTG3610CIRO001_SPC00E67CIRO001_MKTSPC_ASBR_CTHT,IPR40026_VOIP_IMS,CR-202103-01-00507,03032021,mobility,wireless,WO-20210302-03137,Create,ipv4,SPCMKT,Cisco,dual,MKTG3610CIRO001,sub-interface,Bundle-Ether31,4011.0,IPR40026_VOIP_IMS PS to IMS,10.205.211.129/30,10.205.211.130,IPR40026_VOIP_IMS,,100000.0,80.0,,,ibgp,2.0,standard,Ingress-ASBR-CB-Policy,bgp,,,,,,,,,,,,10.205.211.130,17796.0,VOIP_IMS_MOBILE_CTNT_TO_HTNT_IN,VOIP_IMS_MOBILE_CTNT_TO_HTNT_OUT,,,40000.0,80.0,,,active-active,two-links,SPC00E67CIRO001,Bundle-Ether31,4011.0,10.205.211.181/30,10.205.211.182,10.205.211.182,VOIP_IMS_MOBILE_CTNT_TO_HTNT_IN,VOIP_IMS_MOBILE_CTNT_TO_HTNT_OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2021 15:53:00,IPR40026_VOIP_IMS_SMART_PIVOT_BATS0002_1,IPR40026_VOIP_IMS,CR-20210222-00183,24022021,mobility,wireless,WO-20210223-00850,Create,ipv4,BATS,Cisco,dual,BATS0002CIBE001,sub-interface,Bundle-Ether20000,190.0,Connected to BATS0002RT01NE40E01_SMART_PIVOT_VOIP IMS_RID144594,10.86.131.89/30,10.86.131.90,IPR40026_VOIP_IMS,,100000.0,80.0,,,ibgp,2.0,standard,PLDT-TNT-CEN-Ingress-CE,bgp,,,,,,,,,,,,10.86.131.90,64707.0,TNT_TO_PIVOT_IN,TNT_TO_PIVOT_OUT,,,40000.0,80.0,,,active-active,two-links,BATS0002CIBE002,Bundle-Ether20000,190.0,10.86.131.93/30,10.86.131.94,10.86.131.94,TNT_TO_PIVOT_IN,TNT_TO_PIVOT_OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2021 15:53:00,IPR40026_VOIP_IMS_SMART_PIVOT_CKLN8004_1,IPR40026_VOIP_IMS,CR-20210222-00186,24022021,mobility,wireless,WO-20210223-00851,Create,ipv4,CKL,Cisco,dual,CKLN8004CIBE001,sub-interface,Bundle-Ether20000,190.0,Connected to ANG03922RT01NE40E01_SMART_PIVOT_VOIP IMS_RID143808,10.86.130.217/30,10.86.130.218,IPR40026_VOIP_IMS,,100000.0,80.0,,,ibgp,2.0,standard,PLDT-TNT-CEN-Ingress-CE,bgp,,,,,,,,,,,,10.86.130.218,64702.0,TNT_TO_PIVOT_IN,TNT_TO_PIVOT_OUT,,,40000.0,80.0,,,active-active,two-links,CKLN8004CIBE002,Bundle-Ether20000,190.0,10.86.130.221/30,10.86.130.222,10.86.130.222,TNT_TO_PIVOT_IN,TNT_TO_PIVOT_OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2021 15:53:00,IPR40026_VOIP_IMS_SMART_PIVOT_LCNPXLCN_1,IPR40026_VOIP_IMS,CR-20210222-00179,24022021,mobility,wireless,WO-20210223-00849,Create,ipv4,LCN,Cisco,dual,LCNPXLCNCIBE001,sub-interface,Bundle-Ether20000,190.0,Connected to LCN00K95RT01NE40E01_SMART_PIVOT_VOIP IMS_CR-20201209-00106,10.86.131.217/30,10.86.131.218,IPR40026_VOIP_IMS,,100000.0,80.0,,,ibgp,2.0,standard,PLDT-TNT-CEN-Ingress-CE,bgp,,,,,,,,,,,,10.86.131.218,64709.0,TNT_TO_PIVOT_IN,TNT_TO_PIVOT_OUT,,,40000.0,80.0,,,active-active,two-links,LCNPXLCNCIBE002,Bundle-Ether20000,190.0,10.86.131.221/30,10.86.131.222,10.86.131.222,TNT_TO_PIVOT_IN,TNT_TO_PIVOT_OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2021 15:53:00,IPR40026_VOIP_IMS_SMART_PIVOT_PRQG0099_1,IPR40026_VOIP_IMS,CR-20210222-00254,24022021,mobility,wireless,WO-20210223-00853,Create,ipv4,PRQ,Cisco,dual,PRQG0099CIBE001,sub-interface,Bundle-Ether20000,190.0,Connected to PQE67403RT01NE40E01_SMART_PIVOT_VOIP IMS_RID146602,10.86.129.217/30,10.86.129.218,IPR40026_VOIP_IMS,,100000.0,80.0,,,ibgp,2.0,standard,PLDT-TNT-CEN-Ingress-CE,bgp,,,,,,,,,,,,10.86.129.218,64706.0,TNT_TO_PIVOT_IN,TNT_TO_PIVOT_OUT,,,40000.0,80.0,,,active-active,two-links,PRQG0099CIBE002,Bundle-Ether20000,190.0,10.86.129.221/30,10.86.129.222,10.86.129.222,TNT_TO_PIVOT_IN,TNT_TO_PIVOT_OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2021 15:53:00,IPR40026_VOIP_IMS_SMART_PIVOT_SFUN3814_1,IPR40026_VOIP_IMS,CR-20210222-00187,24022021,mobility,wireless,WO-20210223-00852,Create,ipv4,SFU,Cisco,dual,SFUN3814CIBE001,sub-interface,Bundle-Ether20000,190.0,Connected to SFU03835RT01NE40E01_SMART_PIVOT_VOIP IMS_CKLSFU_RID144593,10.86.130.89/30,10.86.130.90,IPR40026_VOIP_IMS,,100000.0,80.0,,,ibgp,2.0,standard,PLDT-TNT-CEN-Ingress-CE,bgp,,,,,,,,,,,,10.86.130.90,64708.0,TNT_TO_PIVOT_IN,TNT_TO_PIVOT_OUT,,,40000.0,80.0,,,active-active,two-links,SFUN3814CIBE002,Bundle-Ether20000,190.0,10.86.130.93/30,10.86.130.94,10.86.130.94,TNT_TO_PIVOT_IN,TNT_TO_PIVOT_OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2021 15:53:00,IPR40124_NTP_SMART_IPINFRA_FALCON_CKLN8004_1,IPR40124_NTP,CR-202103-01-00508,03032021,mobility,wireless,WO-20201105-02424,Create,ipv4,CKL,Cisco,dual,CKLN8004CIBE001,sub-interface,Bundle-Ether20001,713.0,Connected to CLKM3B1R17A9006CR001_SMART_FALCON_NTP_WO-20201105-02424,10.86.135.169/30,10.86.135.170,IPR40124_NTP,False,100000.0,80.0,,,ibgp,2.0,standard,PLDT-TNT-CEN-Ingress-CE,bgp,,,,,,,,,,,,10.86.135.170,65488.0,TNT_TO_FALCON_IN,TNT_TO_FALCON_OUT,,,40000.0,80.0,True,,active-active,two-links,CKLN8004CIBE002,Bundle-Ether20001,713.0,10.86.135.173/30,10.86.135.174,10.86.135.174,TNT_TO_FALCON_IN,TNT_TO_FALCON_OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2021 15:53:00,IPR40124_NTP_SMART_IPINFRA_FALCON_CKLN8004_1,IPR40124_NTP,CR-202103-01-00508,03032021,mobility,wireless,WO-20210302-03140,Modify,ipv4,CKL,Cisco,dual,CKLN8004CIBE001,sub-interface,Bundle-Ether20001,713.0,Connected to CLKM3B1R17A9006CR001_SMART_FALCON_NTP_WO-20201105-02424,10.86.135.169/30,10.86.135.170,IPR40124_NTP,False,100000.0,80.0,,,ibgp,2.0,standard,PLDT-TNT-CEN-Ingress-CE,bgp,,,,,,,,,,,,10.86.135.170,65488.0,TNT_TO_FALCON_IN,TNT_TO_FALCON_OUT,,,40000.0,80.0,True,,active-active,two-links,CKLN8004CIBE002,Bundle-Ether20001,713.0,10.86.135.173/30,10.86.135.174,10.86.135.174,TNT_TO_FALCON_IN,TNT_TO_FALCON_OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2021 15:53:00,IPR40124_NTP_SMART_IPINFRA_FALCON_PRQG0099_1,IPR40124_NTP,CR-20210126-00357,29012021,mobility,wireless,WO-20210127-01433,Create,ipv4,PRQ,Cisco,dual,PRQG0099CIBE001,sub-interface,Bundle-Ether20005,217.0,Connected to VPQMBR1R17A9010CR001 IPR40124_NTP_CR-20210126-00357,10.86.231.65/30,10.86.231.66,IPR40124_NTP,,100000.0,80.0,,,ibgp,2.0,standard,PLDT-TNT-CEN-Ingress-CE,bgp,,,,,,,,,,,,10.86.231.66,64906.0,TNT_TO_IP-INFRA_FALCON_IN,TNT_TO_IP-INFRA_FALCON_OUT,,,40000.0,80.0,,,active-active,two-links,PRQG0099CIBE002,Bundle-Ether20005,217.0,10.86.231.69/30,10.86.231.70,10.86.231.70,TNT_TO_IP-INFRA_FALCON_IN,TNT_TO_IP-INFRA_FALCON_OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2021 15:53:00,IPR44071_USA-OM_SMART_IPINFRA_FALCON_CKLN8004_1,IPR44071_USA-OM,CR-20201209-00307,11122020,mobility,wireless,WO-20201105-02424,Create,ipv4,CKL,Cisco,dual,CKLN8004CIBE001,sub-interface,Bundle-Ether20001,707.0,Connected to CLKM3B1R17A9006CR001_SMART_FALCON_USA-OM_WO-20201105-02424,10.86.135.137/30,10.86.135.138,IPR44071_USA-OM,False,100000.0,80.0,,,ibgp,2.0,standard,PLDT-TNT-CEN-Ingress-CE,bgp,,,,,,,,,,,,10.86.135.138,65488.0,TNT_TO_FALCON_IN,TNT_TO_FALCON_OUT,,,40000.0,80.0,True,,active-active,two-links,CKLN8004CIBE002,Bundle-Ether20001,707.0,10.86.135.141/30,10.86.135.142,10.86.135.142,TNT_TO_FALCON_IN,TNT_TO_FALCON_OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
